frp,hcho
1.22,0.00020005793773898364
1.22,0.00020005793773898364
1.1,0.00023295814309273744
1.1,0.00023295814309273744
1.1,0.00023295814309273744
1.22,0.00020005793773898364
1.22,0.00020005793773898364
1.1,0.00023295814309273744
1.1,0.00023295814309273744
1.1,0.00023295814309273744
0.89,0.00017826548806605175
0.89,0.00017826548806605175
1.22,0.00020005793773898364
1.22,0.00020005793773898364
0.89,0.00017826548806605175
0.89,0.00017826548806605175
2.32,0.00023295814309273744
2.32,0.00023295814309273744
2.32,0.00023295814309273744
0.89,0.00017826548806605175
0.89,0.00017826548806605175
2.32,0.00023295814309273744
2.32,0.00023295814309273744
1.6,0.00023295814309273744
1.6,0.00023295814309273744
1.6,0.00023295814309273744
1.6,0.00023295814309273744
1.6,0.00023295814309273744
1.6,0.00023295814309273744
1.6,0.00023295814309273744
1.6,0.00023295814309273744
1.6,0.00023295814309273744
1.19,0.00023295814309273744
1.19,0.00023295814309273744
0.71,0.00017826548806605175
0.71,0.00017826548806605175
0.71,0.00017826548806605175
1.19,0.00023295814309273744
1.19,0.00023295814309273744
1.19,0.00023295814309273744
2.14,0.00023295814309273744
2.14,0.00023295814309273744
2.14,0.00023295814309273744
0.71,0.00017826548806605175
0.71,0.00017826548806605175
0.71,0.00017826548806605175
1.19,0.00023295814309273744
1.19,0.00023295814309273744
1.22,0.00023295814309273744
1.22,0.00023295814309273744
1.22,0.00023295814309273744
2.14,0.00023295814309273744
0.71,0.00017826548806605175
0.71,0.00017826548806605175
0.71,0.00017826548806605175
1.22,0.00023295814309273744
1.22,0.00023295814309273744
1.22,0.00023295814309273744
1.22,0.0002261827606980021
1.22,0.0002261827606980021
1.22,0.0002261827606980021
1.38,0.0002261827606980021
1.38,0.0002261827606980021
1.38,0.0002261827606980021
1.38,0.0002261827606980021
1.38,0.0002261827606980021
1.38,0.0002261827606980021
0.4,0.0001871852789816499
0.4,0.0001871852789816499
0.4,0.0001871852789816499
0.4,0.0001871852789816499
0.51,0.0001871852789816499
0.51,0.0001871852789816499
0.51,0.0001871852789816499
0.51,0.0001871852789816499
0.51,0.0001871852789816499
0.51,0.0001871852789816499
0.51,0.0001871852789816499
4.98,0.00021954303484737956
7.44,0.00021954303484737956
7.44,0.00021954303484737956
7.44,0.00021954303484737956
3.1,0.00021954303484737956
0.56,0.00022296754155026597
0.56,0.00022296754155026597
8.18,0.00022296754155026597
8.18,0.00022296754155026597
4.98,0.00021954303484737956
7.44,0.00021954303484737956
3.1,0.00021954303484737956
3.1,0.00021954303484737956
3.1,0.00021954303484737956
5.99,0.00021954303484737956
0.56,0.00022296754155026597
0.56,0.00022296754155026597
1.19,0.00022296754155026597
8.18,0.00022296754155026597
8.18,0.00022296754155026597
7.44,0.00021954303484737956
3.1,0.00021954303484737956
3.1,0.00021954303484737956
3.1,0.00021954303484737956
1.6,0.00021954303484737956
1.6,0.00021954303484737956
0.56,0.00022296754155026597
0.56,0.00022296754155026597
1.19,0.00022296754155026597
8.18,0.00022296754155026597
8.18,0.00022296754155026597
3.1,0.00021954303484737956
3.1,0.00021954303484737956
3.1,0.00021954303484737956
1.6,0.00021954303484737956
1.6,0.00021954303484737956
0.56,0.00022296754155026597
0.56,0.00022296754155026597
1.0,0.00022296754155026597
1.0,0.00022296754155026597
1.0,0.00022296754155026597
1.6,0.00021954303484737956
1.6,0.00021954303484737956
1.6,0.00021954303484737956
1.37,0.00021954303484737956
1.37,0.00021954303484737956
1.37,0.00021954303484737956
0.92,0.00017901505367379377
0.92,0.00017901505367379377
0.92,0.00017901505367379377
1.0,0.00022296754155026597
1.0,0.00022296754155026597
1.0,0.00022296754155026597
1.6,0.00021954303484737956
1.6,0.00021954303484737956
1.37,0.00021954303484737956
1.37,0.00021954303484737956
1.37,0.00021954303484737956
1.37,0.00021954303484737956
0.92,0.00017901505367379377
0.92,0.00017901505367379377
0.92,0.00017901505367379377
0.8,0.00022296754155026597
0.8,0.00022296754155026597
0.8,0.00022296754155026597
1.37,0.00021954303484737956
1.37,0.00021954303484737956
1.37,0.00021954303484737956
0.92,0.00017901505367379377
0.92,0.00017901505367379377
0.92,0.00017901505367379377
0.8,0.00022296754155026597
0.8,0.00022296754155026597
0.8,0.00022296754155026597
0.8,0.00022296754155026597
0.8,0.00022296754155026597
0.8,0.00022296754155026597
1.23,0.00020373979213616128
1.23,0.00020373979213616128
1.23,0.00020373979213616128
1.23,0.00020373979213616128
1.23,0.00020373979213616128
1.23,0.00020373979213616128
1.23,0.00020373979213616128
1.23,0.00020373979213616128
1.23,0.00020373979213616128
2.32,0.0002160454733874704
2.32,0.0002160454733874704
2.32,0.0002160454733874704
2.32,0.0002190973965718848
2.32,0.0002190973965718848
2.32,0.0002190973965718848
1.05,0.00016826918691200857
1.05,0.00016826918691200857
1.05,0.00016826918691200857
1.05,0.00016826918691200857
0.81,0.00013856636556338603
0.81,0.00013856636556338603
0.81,0.00013856636556338603
0.81,0.00013856636556338603
0.81,0.00013856636556338603
0.81,0.00013856636556338603
0.81,0.00013856636556338603
0.81,0.00013856636556338603
0.81,0.00013856636556338603
2.0,0.0001546259622288248
2.0,0.0001546259622288248
2.0,0.0001546259622288248
2.0,0.0001546259622288248
2.0,0.0001546259622288248
2.0,0.0001546259622288248
2.0,0.0001546259622288248
2.0,0.0001546259622288248
2.0,0.0001546259622288248
0.97,0.00016792482178194218
0.97,0.00016792482178194218
0.97,0.00016792482178194218
0.97,0.00016792482178194218
0.97,0.00016792482178194218
0.97,0.00016792482178194218
0.97,0.00016792482178194218
0.97,0.00016792482178194218
0.97,0.00016792482178194218
0.97,0.00016792482178194218
0.97,0.00016792482178194218
0.97,0.00016792482178194218
0.09,0.0001905575609650164
0.09,0.0001905575609650164
0.09,0.0001905575609650164
0.2,0.0001905575609650164
0.2,0.0001905575609650164
0.2,0.0001905575609650164
0.2,0.0001905575609650164
0.2,0.0001905575609650164
0.2,0.0001905575609650164
0.2,0.0001905575609650164
0.2,0.0001905575609650164
0.2,0.0001905575609650164
0.42,0.0001966692197094357
0.42,0.0001966692197094357
0.42,0.0001966692197094357
0.42,0.0001966692197094357
0.42,0.0001966692197094357
0.42,0.0001966692197094357
0.42,0.0001966692197094357
